store_id,tcin_product_id,record_date,load_date,load_ts,shipping_method_id,shipping_method_short_description,service_level_description,min_delivery_date,max_delivery_date,cutoff_time,is_base_shipping_method,is_two_day_shipping,product_tcin,product_typename,scheduled_delivery_status,scheduled_delivery_promise_qty,scheduled_delivery_location_id,is_out_of_stock_in_all_stores,product_id,is_sold_out,shipping_availability_status,available_to_promise_qty,loyalty_availability_status,fulfillment_product_id,delivery_location,notify_me_eligible,notify_me_enabled,charge_scheduled_delivery,charge_one_day,store_positions
2822,89449531,2025-10-19,2025-10-19,2025-10-19 17:18:20.510109,STANDARD,Standard,Standard Shipping,2025-10-28,2025-10-28,2025-10-20 15:00:00,true,false,89449531,Product,UNAVAILABLE,0.0,2822,true,89449531,false,IN_STOCK,10.0,IN_STOCK,89449531,2822,true,false,9.99,7.99,
2822,89599852,2025-10-19,2025-10-19,2025-10-19 17:18:20.510109,STANDARD,Standard,Standard Shipping,2025-10-25,2025-10-25,2025-10-20 17:30:00,true,false,89599852,Product,OUT_OF_STOCK,0.0,2822,false,89599852,false,IN_STOCK,10.0,IN_STOCK,89599852,2822,true,false,9.99,7.99,"[{'block': G, 'aisle': 27}]"
2822,89600213,2025-10-19,2025-10-19,2025-10-19 17:18:20.510109,STANDARD,Standard,Standard Shipping,2025-10-25,2025-10-25,2025-10-20 18:00:00,true,false,89600213,Product,UNAVAILABLE,0.0,2822,false,89600213,false,IN_STOCK,10.0,IN_STOCK,89600213,2822,true,false,9.99,7.99,"[{'block': G, 'aisle': 26}]"
2822,81063375,2025-10-15,2025-10-19,2025-10-19 17:18:20.510109,STANDARD,Standard,Standard Shipping,2025-10-25,2025-10-25,2025-10-20 18:00:00,true,false,81063375,Product,OUT_OF_STOCK,0.0,2822,false,81063375,false,IN_STOCK,10.0,IN_STOCK,81063375,2822,true,false,9.99,7.99,"[{'block': G, 'aisle': 28}]"
2822,81063375,2025-10-19,2025-10-19,2025-10-19 17:18:20.510109,,,,,,,,,,,,,,,,,,,,,,,,,,
2822,81063372,2025-10-19,2025-10-19,2025-10-19 17:18:20.510109,STANDARD,Standard,Standard Shipping,2025-10-25,2025-10-25,2025-10-20 17:00:00,true,false,81063372,Product,OUT_OF_STOCK,0.0,2822,false,81063372,false,IN_STOCK,7.0,IN_STOCK,81063372,2822,true,false,9.99,7.99,"[{'block': G, 'aisle': 27}]"
2822,89600216,2025-10-19,2025-10-19,2025-10-19 17:18:20.510109,STANDARD,Standard,Standard Shipping,2025-10-25,2025-10-25,2025-10-20 17:30:00,true,false,89600216,Product,IN_STOCK,4.0,2822,false,89600216,false,IN_STOCK,10.0,IN_STOCK,89600216,2822,true,false,9.99,7.99,"[{'block': G, 'aisle': 27}]"
2822,93350962,2025-10-15,2025-10-19,2025-10-19 17:18:20.510109,STANDARD,Standard,Standard Shipping,2025-10-25,2025-10-25,2025-10-20 18:00:00,true,false,93350962,Product,OUT_OF_STOCK,0.0,2822,false,93350962,false,IN_STOCK,10.0,IN_STOCK,93350962,2822,true,false,9.99,7.99,"[{'block': G, 'aisle': 25}]"
2822,93350962,2025-10-19,2025-10-19,2025-10-19 17:18:20.510109,,,,,,,,,,,,,,,,,,,,,,,,,,
2822,1005590049,2025-10-13,2025-10-19,2025-10-19 17:18:20.510109,STANDARD,Standard,Standard Shipping,2025-10-25,2025-10-25,2025-10-20 08:00:00,true,false,1005590049,Product,UNAVAILABLE,0.0,2822,true,1005590049,false,IN_STOCK,17.0,IN_STOCK,1005590049,2822,true,false,9.99,7.99,
2822,1005590049,2025-10-19,2025-10-19,2025-10-19 17:18:20.510109,,,,,,,,,,,,,,,,,,,,,,,,,,
